[  578.212942] motor_ctrl: Removing motor_ctrl module
[  581.318319] motor_ctrl: Inserting module...
[  581.428837] motor_ctrl: Inserting module successful.
[  601.451563]  Jitter 19998827 
[  601.451568]  Jitter 20005391 
[  601.451573]  Jitter 19998254 
[  601.451579]  Jitter 20001745 
[  601.451584]  Jitter 19994504 
[  601.451590]  Jitter 20003984 
[  601.451595]  Jitter 19999504 
[  601.451600]  Jitter 19999869 
[  601.451607]  Jitter 19996639 
[  601.451612]  Jitter 20004192 
[  601.451618]  Jitter 19999505 
[  601.451624]  Jitter 19999816 
[  601.451629]  Jitter 19996536 
[  601.451634]  Jitter 20003879 
[  601.451640]  Jitter 19999609 
[  601.451645]  Jitter 20000025 
[  601.451651]  Jitter 19996535 
[  601.451657]  Jitter 20003775 
[  601.451662]  Jitter 20000130 
[  601.451668]  Jitter 19999608 
[  601.451673]  Jitter 19996275 
[  601.451679]  Jitter 20004140 
[  601.451684]  Jitter 19999608 
[  601.451689]  Jitter 19999921 
[  601.451696]  Jitter 19996380 
[  601.451701]  Jitter 20008723 
[  601.451706]  Jitter 19995233 
[  601.451713]  Jitter 19999556 
[  601.451718]  Jitter 19996432 
[  601.451723]  Jitter 20004817 
[  601.451730]  Jitter 19995754 
[  601.451735]  Jitter 20001015 
[  601.451741]  Jitter 20000754 
[  601.451746]  Jitter 19997785 
[  601.451751]  Jitter 20005390 
[  601.451757]  Jitter 19998463 
[  601.451762]  Jitter 19996066 
[  601.451767]  Jitter 20003932 
[  601.451773]  Jitter 19999660 
[  601.451778]  Jitter 20000026 
[  601.451785]  Jitter 19996327 
[  601.451790]  Jitter 20003775 
[  601.451795]  Jitter 19999712 
[  601.451801]  Jitter 20000130 
[  601.451806]  Jitter 19996431 
[  601.451812]  Jitter 20003879 
[  601.451818]  Jitter 19999661 
[  601.451823]  Jitter 19999973 
[  601.451829]  Jitter 19996431 
[  601.451834]  Jitter 20003932 
[  601.451840]  Jitter 19998619 
[  601.451846]  Jitter 20003410 
[  601.451851]  Jitter 19994036 
[  601.451856]  Jitter 20007004 
[  601.451861]  Jitter 19996743 
[  601.451867]  Jitter 19999921 
[  601.451874]  Jitter 19996378 
[  601.451879]  Jitter 20004035 
[  601.451884]  Jitter 19996015 
[  601.451890]  Jitter 20004087 
[  601.451895]  Jitter 19995806 
